K,theta,lane,improvement_pct
200,-0.5,הברון הירש-אליעזר הלוי,0.12655720740849571
200,-0.5,אלעזר המודעי-כובשי קטמון,0.5272699210832008
200,-0.5,הפלמ״ח,0.27216007455729824
200,-0.5,בזק-בייט,0.8429411200562001
200,-0.5,ירמיהו-בר אילן-לוי אשכול,3.5400875835507053
200,-0.5,גולדה-שמואל הנביא,1.0698619963899703
200,-0.5,שטראוס-יחזקאל,0.0
200,-0.5,בגין (גבעת רם),0.7296829890524315
200,-0.5,גולומב,0.17308868999344
200,-0.5,קוליץ,0.04014205768624791
200,-0.5,פייר קניג,0.6199367989871395
200,-0.5,שמגר-אוהל יהושוע-שפע חיים,1.1807237028613733
200,-0.5,בצלאל-רבין,0.0
200,-1.0,האר״י-מטודלה,0.2818521497638072
200,-1.0,אגרון-רמב״ן‎,1.1313544738895185
200,-1.0,קרן היסוד-קינג ג׳ורג׳,0.0
200,-1.0,דרך חברון,0.0
200,-1.0,ז׳בוטינסקי,0.40578293638250684
200,-1.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.2659171041178332
200,-1.0,הרצל‎,3.113304122447221
200,-1.0,בן זכאי-יהודה הנשיא,1.3884498627202169
200,-1.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.48985404318832737
200,-1.0,בר לב,6.473579619123909
200,-1.0,צבי יהודה,0.8227302918276227
200,-1.0,הברון הירש-אליעזר הלוי,0.2591003441928483
200,-1.0,אלעזר המודעי-כובשי קטמון,0.91415463897206
200,-1.0,הפלמ״ח,0.46966866078858366
200,-1.0,בזק-בייט,1.3903789569061515
200,-1.0,ירמיהו-בר אילן-לוי אשכול,5.834704128039005
200,-1.0,גולדה-שמואל הנביא,1.7883313068200803
200,-1.0,שטראוס-יחזקאל,0.0
200,-1.0,בגין (גבעת רם),1.2275733619119193
200,-1.0,גולומב,0.2785687615832648
200,-1.0,קוליץ,0.0661672614738208
200,-1.0,פייר קניג,1.0088722492528845
200,-1.0,שמגר-אוהל יהושוע-שפע חיים,2.173525837754811
200,-1.0,בצלאל-רבין,0.0
200,-1.5,האר״י-מטודלה,0.13140759782382017
200,-1.5,אגרון-רמב״ן‎,0.5699712279786631
200,-1.5,קרן היסוד-קינג ג׳ורג׳,0.0
200,-1.5,דרך חברון,0.0
200,-1.5,ז׳בוטינסקי,0.19967981587024664
200,-1.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.12095577918117104
200,-1.5,הרצל‎,1.4479211295228904
200,-1.5,בן זכאי-יהודה הנשיא,0.6193034248392253
200,-1.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.22217480951507565
200,-1.5,בר לב,2.6306770805177866
200,-1.5,צבי יהודה,0.43338166910468506
200,-1.5,הברון הירש-אליעזר הלוי,0.148519158550811
200,-1.5,אלעזר המודעי-כובשי קטמון,0.41845086622650973
200,-1.5,הפלמ״ח,0.2153809719639101
200,-1.5,בזק-בייט,0.5859551792979845
200,-1.5,ירמיהו-בר אילן-לוי אשכול,2.495733081225737
200,-1.5,גולדה-שמואל הנביא,0.7657310280442828
200,-1.5,שטראוס-יחזקאל,0.0
200,-1.5,בגין (גבעת רם),0.5344892944970323
200,-1.5,גולומב,0.11593296509990403
200,-1.5,קוליץ,0.02846060149099009
200,-1.5,פייר קניג,0.44101834803333023
200,-1.5,שמגר-אוהל יהושוע-שפע חיים,1.0765863613716724
200,-1.5,בצלאל-רבין,0.0
200,-2.0,האר״י-מטודלה,0.004745214412078674
200,-2.0,אגרון-רמב״ן‎,0.022398748360139383
200,-2.0,קרן היסוד-קינג ג׳ורג׳,0.0
200,-2.0,דרך חברון,0.0
200,-2.0,ז׳בוטינסקי,0.007731579081413526
200,-2.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.003979096225883402
200,-2.0,הרצל‎,0.049263685687652596
200,-2.0,בן זכאי-יהודה הנשיא,0.02066218159189007
200,-2.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.007859546602020203
200,-2.0,בר לב,0.07694375818445863
200,-2.0,צבי יהודה,0.01736174243005823
200,-2.0,הברון הירש-אליעזר הלוי,0.00679567053841871
200,-2.0,אלעזר המודעי-כובשי קטמון,0.014318134324237425
200,-2.0,הפלמ״ח,0.007414452984202228
200,-2.0,בזק-בייט,0.01766778001235159
200,-2.0,ירמיהו-בר אילן-לוי אשכול,0.07764284715673353
200,-2.0,גולדה-שמואל הנביא,0.02359896129822956
200,-2.0,שטראוס-יחזקאל,0.0
200,-2.0,בגין (גבעת רם),0.016880998947359994
200,-2.0,גולומב,0.0034996033831306015
200,-2.0,קוליץ,0.0008991833828268995
200,-2.0,פייר קניג,0.014735177374444582
200,-2.0,שמגר-אוהל יהושוע-שפע חיים,0.03997917479866515
200,-2.0,בצלאל-רבין,0.0
200,-3.0,האר״י-מטודלה,2.8775998237540724e-06
200,-3.0,אגרון-רמב״ן‎,1.1063200431878284e-05
200,-3.0,קרן היסוד-קינג ג׳ורג׳,0.0
200,-3.0,דרך חברון,0.0
200,-3.0,ז׳בוטינסקי,4.35307415211073e-06
200,-3.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,1.1233696137073755e-06
200,-3.0,הרצל‎,1.5373449109198947e-05
200,-3.0,בן זכאי-יהודה הנשיא,6.893269592141207e-06
200,-3.0,רחל אמנו-חזקיהו המלך-דוסטאי,3.482489911921264e-06
200,-3.0,בר לב,1.681562241004249e-05
200,-3.0,צבי יהודה,8.205914106152966e-06
200,-3.0,הברון הירש-אליעזר הלוי,4.919001004353784e-06
200,-3.0,אלעזר המודעי-כובשי קטמון,4.9482103662558675e-06
200,-3.0,הפלמ״ח,2.6140176298316497e-06
200,-3.0,בזק-בייט,4.106212065834161e-06
200,-3.0,ירמיהו-בר אילן-לוי אשכול,1.996411678087196e-05
200,-3.0,גולדה-שמואל הנביא,5.8272185564122355e-06
200,-3.0,שטראוס-יחזקאל,0.0
200,-3.0,בגין (גבעת רם),4.451092076412736e-06
200,-3.0,גולומב,8.369895568021608e-07
200,-3.0,קוליץ,2.4663216005379377e-07
200,-3.0,פייר קניג,5.071860356357676e-06
200,-3.0,שמגר-אוהל יהושוע-שפע חיים,1.5178251569124281e-05
200,-3.0,בצלאל-רבין,0.0
500,-0.5,האר״י-מטודלה,0.16098634550156915
500,-0.5,אגרון-רמב״ן‎,0.6221979754212171
500,-0.5,קרן היסוד-קינג ג׳ורג׳,0.0
500,-0.5,דרך חברון,0.0
500,-0.5,ז׳בוטינסקי,0.22792253112788702
